ln(IM)	"GDP per Capita"	Sanitation	Urban
3.990834186	277.0683092	48	12.057
3.723280881	619.1694065	28	19.472
3.770459441	371.9857478	41	16.272
3.380994674	743.3229657	45.8	18.615
4.044804117	358.958152	10.9	18.732
2.708050201	3938.548846	91.5	19.098
4.099332104	730.5801009	6.7	18.804
2.128231706	3926.174396	95.1	18.356
2.541601993	7735.910484	90.5	18.504
2.901421594	17321.88468	91.5	8.445
3.629660094	705.2925695	19.1	16.101
4.194189897	594.3230812	31.9	26.703
3.424262655	1211.701531	60.6	34.277
2.48490665	15429.34046	96.2	31.475
3.303216973	2655.998892	50.4	38.644
1.62924054	4249.330313	94.8	39.767
4.109233175	589.7744141	19.7	29.859
3.202746443	1158.689904	42.4	20.723
4.442651256	775.6950905	12.1	22.471
4.009149716	717.44885	35.8	28.296
4.222444565	14439.59445	74.5	39.923
2.379546134	9212.020352	98	35.591
4.110873864	531.3205952	20.1	37.161
3.465735903	4127.351018	83.7	28.553
3.634951112	1598.259034	39.6	32.747
3.569532696	1376.712829	30.1	25.622
2.944438979	1103.215352	93.3	35.707
3.925925911	1818.441373	70.9	38.614
4.237000863	1066.985626	30.3	27.312
3.580737295	401.836006	12	35.105
4.310799125	724.2562832	24.7	39.916
2.468099531	9252.110724	93.1	39.671
3.353406718	3015.231668	57.1	22.424
4.037774211	529.2425561	20.5	32.214
3.676300672	1161.488158	79.6	34.098
4.186619838	1434.696665	63.5	38.758
3.437207819	697.3482281	61.6	28.811
4.467056884	653.1318159	13.3	39.942
3.161246712	1934.856293	29.8	22.329
3.795489189	3200.143018	57.5	21.308
3.650658241	925.9118877	95	26.782
3.561046083	878.9751055	15.6	31.608
3.799973502	1157.992956	40.6	32.77
3.956996371	559.6358767	11.6	39.964
2.667228207	4098.543929	91	23.712
3.523415014	2132.070368	100	36.365
3.139832618	2805.314644	57.9	26.128
2.850706502	2111.138024	78	33.593
3.841600541	924.1438193	36.8	32.376
2.525728644	3945.217582	93.2	57.407
4.564348191	4101.472152	51.6	44.05
3.328626689	5496.34464	89.3	54.62
2.653241965	4878.721267	90.5	43.973
4.162003211	762.0512054	19.7	43.95
4.044804117	1217.26067	45.8	54.381
4.516338972	323.201674	21.8	40.037
2.219203484	8027.68381	76.5	55.614
4.310799125	456.0527405	28.7	42.494
4.198704578	1398.989958	22.5	54.18
1.280933845	11535.82936	97	58.964
3.010620886	3614.746766	94.7	43.135
2.949688335	4960.519954	91.1	53.728
3.869115504	471.5371955	58.9	59.632
2.360854001	3795.973308	86.3	53.641
3.756538103	1369.701122	14.9	54.042
3.19047635	3903.478856	63.9	51.571
4.099332104	572.9884285	20.8	49.332
3.955082495	818.3432976	27.6	58.645
2.856470206	2528.89355	82.6	54.73
3.126760536	3346.487039	60.8	53.742
2.602689685	5232.024583	81.8	54.788
2.533696814	10509.98107	97.5	53.247
3.77505715	1424.280879	39.7	44.304
3.966511191	455.8739345	16.9	49.701
1.568615918	4852.657848	90.9	57.104
2.00148	8395.785198	97.9	45.536
2.610069793	1848.061804	76.4	44.995
3.490428515	4673.567248	34.4	46.66
2.93385687	2086.895003	67.9	58.779
4.239886868	2640.290739	29	47.776
2.862200881	4080.951448	88.6	59.666
3.100092289	2904.202082	73.9	44.373
2.272125886	8972.922518	79.1	54.564
3.730501129	899.5798795	47.6	43.721
1.774952351	5235.142207	96.4	55.553
2.459588842	15476.01944	98.4	53.887
1.757857918	16088.27759	98.8	53.598
0.741937345	20726.53989	99.1	49.65
2.351375257	5814.769764	93	50.374
3.768152635	1304.879014	43.9	40.922
3.086486637	4206.031232	87.6	70.727
2.533696814	3489.12769	89.5	62.673
1.064710737	43774.98517	100	65.968
1.223775432	5740.456495	94.3	76.667
3.421000009	3076.791811	50.3	68.512
3.549617387	6360.13822	63.4	57.444
2.2300144	6993.47736	86	73.948
3.0301337	3080.178814	72.2	65.526
2.610069793	6056.147717	81.1	76.436
3.502549876	1851.199916	15	65.38
2.140066163	11260.09216	94.5	76.821
0.916290732	23242.84007	100	66.921
1.029619417	17548.33821	99.1	72.992
3.992680908	1945.124293	47.4	77.343
3.246490992	6468.473492	84	78.98
2.912350665	6205.064145	84.7	63.742
2.667228207	4219.35033	75	66.726
0.832909123	17118.5042	97.2	67.538
1.252762968	36205.5681	98.7	79.52
1.131402111	41313.31399	99.2	75.301
1.280933845	18002.23058	99	78.007
1.667706821	12363.54346	98	71.227
3.277144733	4943.760388	85.6	69.471
1.098612289	61133.67243	90.5	63.241
1.064710737	29957.80432	99.5	68.964
1.931521412	13648.54756	87.8	67.382
1.193922468	14147.04938	92.4	66.508
1.791759469	9768.32686	96	74.705
3.387774361	3385.967463	76.9	72.684
2.424802726	9005.024265	85.2	79.246
2.944438979	3967.829386	59.7	72.04
1.458615023	6406.070855	95.9	64.026
3.165475048	2878.201342	76.7	60.195
2.292534757	15550.67625	96.7	77.641
2.681021529	13268.11375	75	66.592
2.57261223	6027.125855	76.2	78.609
1.504077397	12554.54755	97.2	60.539
1.098612289	19222.15008	99.7	63.468
2.104134154	9092.580536	72.2	74.008
3.543853682	1669.063268	34.7	65.092
3.514526067	5723.973357	66.4	64.801
1.252762968	25831.58231	99.9	79.579
2.944438979	9485.319244	79.2	66.043
1.223775432	80945.07922	99.9	73.912
2.493205453	3872.512084	91.6	66.842
2.451005098	9125.68759	94.9	73.397
2.041220329	2114.954716	95.9	69.695
2.890371758	2866.8001	92.3	75.252
2.406945108	13431.87834	96.4	91.751
1.098612289	56310.96299	100	89.423
2.292534757	22817.23086	92	82.874
1.667706821	22600.2141	99.2	88.775
1.193922468	40324.02777	99.5	97.858
2.681021529	8538.589975	82.8	85.687
1.458615023	43248.52991	99.8	81.828
1.945910149	13416.23004	99.1	89.53
1.064710737	51989.29347	99.6	87.676
0.641853886	42311.03623	97.6	84.221
3.586292865	8266.445605	41.9	87.156
0.470003629	50173.33992	98.8	94.137
1.16315081	35728.0935	100	92.14
0.693147181	34523.70077	100	93.498
2.734367509	4940.045836	98.6	83.679
1.064710737	27221.52405	100	82.474
1.987874348	29300.57558	100	98.342
1.960094784	8047.645086	80.7	87.792
0.405465108	101449.9682	97.6	90.16
1.62924054	22596.18177	100	95.407
3.370738174	9827.544281	65.6	100
1.16315081	44299.76809	97.7	90.496
0.693147181	74400.36978	98.1	80.473
2.653241965	13498.66141	100	87.071
1.916922612	73653.39443	98	99.244
2.525728644	20481.74532	100	83.13
0.741937345	52888.74467	100	100
0.875468737	50579.67365	99.3	85.815
1.774952351	40438.76293	97.6	85.541
1.252762968	43875.96961	99.2	82.592
1.722766598	56115.71843	100	81.617
2.163323026	15573.90092	96.4	95.311
